identifica,xCentroid,yCentroid
"0344100000139449",131967.205,456214.258
"0344100000139450",131999.022,456225.379
"0344100000139451",131997.933,456219.831
"0344100000139452",131999.080,456214.253
"0344100000139453",131944.032,456218.107
"0344100000139454",131944.019,456216.113
"0344100000139455",131944.002,456207.320
"0344100000139456",131943.985,456205.327
"0344100000139457",131949.028,456218.172
"0344100000139458",131949.044,456216.197
"0344100000139459",132010.249,456223.539
"0344100000139460",132011.647,456218.121
"0344100000139461",132011.648,456216.121
"0344100000139462",132016.501,456221.325
"0344100000139463",132021.777,456221.338
"0344100000139464",132026.877,456221.334
"0344100000139465",132031.977,456221.333
"0344100000139466",132037.077,456221.333
"0344100000139467",132042.177,456221.333
"0344100000139468",132047.277,456221.331
"0344100000139469",132052.377,456221.330
"0344100000139470",132057.650,456221.317
"0344100000139471",132018.216,456209.134
"0344100000139472",132020.216,456209.132
"0344100000139473",132028.423,456209.122
"0344100000139474",132030.423,456209.134
"0344100000139475",132038.634,456209.130
"0344100000139476",132040.634,456209.140
"0344100000139477",132045.776,456209.112
"0344100000139478",132053.957,456209.196
"0344100000139480",132065.942,456222.790
"0344100000139481",132065.942,456220.790
"0344100000139482",132063.927,456209.123
"0344100000139483",132061.935,456209.105
"0344100000139484",132057.933,456195.777
"0344100000139485",132057.938,456193.775
"0344100000139486",132081.368,456220.844
"0344100000139487",132079.311,456214.708
"0344100000139488",132077.668,456209.524
"0344100000139489",132076.083,456204.319
"0344100000139490",132075.669,456198.802
"0344100000139491",132073.637,456192.509
"0344100000139492",132052.464,456168.673
"0344100000139493",132052.463,456166.671
"0344100000139494",132050.972,456156.609
"0344100000139495",132050.971,456154.607
"0344100000139496",132047.085,456144.015
"0344100000139497",132047.084,456142.013
"0344100000139498",132066.682,456168.636
"0344100000139499",132066.423,456162.216
"0344100000139500",132064.200,456157.140
"0344100000139501",132064.278,456151.597
"0344100000139502",132062.135,456146.470
"0344100000139503",132061.073,456140.455
"0344100000139504",132047.080,456116.070
"0344100000139505",132047.090,456114.081
"0344100000139506",132045.604,456103.623
"0344100000139507",132045.605,456101.622
"0344100000139508",132047.067,456091.950
"0344100000139509",132047.056,456089.950
"0344100000139522",132059.986,456117.917
"0344100000139523",132060.907,456111.854
"0344100000139524",132061.409,456106.304
"0344100000139525",132062.069,456100.778
"0344100000139526",132061.643,456095.073
"0344100000139527",132062.913,456089.066
"0344100000139528",132045.591,456152.987
"0344100000139787",132009.502,456173.024
"0344100000143263",132055.972,456206.103
"0344100000134509",131966.227,456190.173
