identifica,xCentroid,yCentroid
"0344100000001789",132311.535,456316.172
"0344100000002727",131306.749,456693.729
"0344100000003651",132667.414,455367.979
"0344100000003652",132672.791,455367.896
"0344100000005430",131759.967,456172.806
"0344100000005431",131758.199,456179.244
"0344100000005001",132035.662,456089.228
"0344100000001802",132634.493,455835.627
"0344100000003661",132497.738,455558.107
"0344100000002738",132171.957,455567.450
"0344100000002739",132186.128,455568.643
"0344100000002740",131339.732,456366.462
"0344100000005005",131964.995,455739.587
"0344100000003188",131265.724,456011.160
"0344100000005008",132365.004,455720.062
"0344100000002743",131311.210,456191.236
"0344100000001814",132346.405,455770.251
"0344100000002744",131317.607,456193.362
"0344100000002746",131525.665,456803.357
"0344100000002747",131523.562,456810.986
"0344100000005449",132622.362,455689.036
"0344100000003666",132585.922,455828.863
"0344100000002752",132810.003,455892.951
"0344100000002755",132535.336,455776.855
"0344100000003679",132797.827,455491.556
"0344100000005459",132632.938,455559.303
"0344100000005471",132448.996,456198.722
"0344100000003210",132903.651,455852.157
"0344100000002296",132183.543,456040.036
"0344100000002283",132930.256,455774.821
"0344100000002285",131636.001,456206.217
"0344100000004096",132648.238,455560.500
"0344100000002764",132498.693,455702.390
"0344100000003689",132000.251,456015.752
"0344100000004103",131374.224,456308.205
"0344100000004106",132415.049,455627.283
"0344100000003698",131876.448,455788.377
"0344100000005038",132339.382,456122.737
"0344100000005039",132339.043,456128.752
"0344100000003246",132520.526,456111.649
"0344100000005490",132535.387,455674.369
"0344100000006344",131454.295,455815.508
"0344100000006351",132732.331,455792.409
"0344100000006358",132179.265,456094.628
"0344100000006361",131788.127,455787.196
"0344100000002803",132375.099,455753.975
"0344100000005511",131281.689,456738.524
"0344100000005070",132804.970,455599.305
"0344100000002810",132558.644,456089.369
"0344100000002811",132553.190,456087.540
"0344100000004597",132722.161,455452.165
"0344100000004598",132734.052,455452.608
"0344100000004602",132024.859,456065.635
"0344100000004167",132356.078,456340.386
"0344100000006844",132585.929,455824.063
"0344100000004168",132350.375,456344.834
"0344100000003286",131087.583,455818.798
"0344100000004612",131705.809,456288.801
"0344100000003287",131079.190,455823.568
"0344100000003767",131246.930,456597.669
"0344100000006855",131335.963,456640.626
"0344100000005911",132881.588,455875.983
"0344100000006403",132731.384,455302.356
"0344100000006408",132904.127,455774.494
"0344100000005556",131967.616,456016.468
"0344100000003788",132635.555,455631.794
"0344100000003311",132591.947,455708.123
"0344100000005125",132638.038,455600.514
"0344100000004639",132399.910,455391.525
"0344100000005567",132227.892,455989.934
"0344100000005568",132226.462,455996.356
"0344100000007029",131250.583,456508.017
"0344100000005133",132684.995,455731.253
"0344100000004214",131361.606,455869.048
"0344100000003325",132835.933,455692.031
"0344100000004666",132488.922,456113.016
"0344100000004667",131627.305,455878.022
"0344100000003339",131726.301,456303.611
"0344100000005965",132305.817,456154.830
"0344100000005966",132305.461,456161.433
"0344100000004244",131275.460,455980.129
"0344100000006922",131322.772,456536.464
"0344100000005176",132950.021,455765.912
"0344100000004262",132035.708,456037.658
"0344100000006000",131214.836,456297.220
"0344100000005628",131997.514,456051.741
"0344100000007419",131686.598,455819.766
"0344100000007854",131334.503,456698.810
"0344100000006509",131696.791,455845.560
"0344100000007425",131342.187,456290.316
"0344100000004742",132397.333,455366.514
"0344100000004740",131626.323,456383.527
"0344100000005656",131254.898,455843.335
"0344100000004291",132093.001,455989.597
"0344100000007439",132633.190,455906.026
"0344100000006514",132918.389,455836.237
"0344100000005214",132000.085,455828.211
"0344100000005666",132585.947,455620.118
"0344100000004748",132653.338,455559.227
"0344100000004749",132659.679,455559.525
"0344100000006523",132725.353,455915.125
"0344100000005661",132033.722,455794.243
"0344100000005665",132585.944,455625.053
"0344100000005221",131648.994,456671.945
"0344100000005224",131260.978,456220.053
"0344100000008395",131810.224,455655.338
"0344100000004766",132019.459,456140.804
"0344100000004767",132013.902,456140.788
"0344100000005686",132036.233,455952.718
"0344100000005688",132519.947,456121.906
"0344100000006982",131548.720,456296.994
"0344100000005241",132132.488,455881.161
"0344100000007472",132000.061,455968.008
"0344100000007919",132770.510,455826.017
"0344100000007477",131838.113,455616.090
"0344100000005704",131910.325,457027.590
"0344100000006562",132559.999,455788.524
"0344100000008423",132612.477,455896.144
"0344100000006560",131965.021,455854.279
"0344100000006083",132810.694,455558.105
"0344100000005263",131686.608,455847.374
"0344100000006087",132036.090,455899.854
"0344100000006567",131677.624,456040.508
"0344100000007934",132147.220,456013.401
